log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,timestamp_clean,hostname_clean,src_ip_clean,is_src_ip_valid,is_src_ip_tampered,dst_ip_clean,is_dst_ip_valid,is_dst_ip_tampered,is_ip_tampered,src_port_clean,dst_port_clean,is_port_anomalous,protocol_clean,action_clean,bytes_sent_clean,bytes_received_clean,total_bytes,session_id_clean,threat_flag_clean,rule_name_clean,geo_country_clean
FW000027859,,WS-11372,10.235.103,155.241.210.,8080.0,25.0,udp,Deny,,8848228,SID321081,N,block_tor_exit,,,WS-11372,10.235.103,False,True,155.241.210.,False,True,True,8080,25,False,UDP,DENY,0,8848228,8848228,SID321081,False,BLOCK_TOR_EXIT,Unknown
FW000002141,09/09/2026,VDR-10638.corp.local,,10.160.12,-5.0,135.0,TCP,PERMIT,"38,886,739",36.79 MB,SID195136,False,UNKNOWN,China,2026-09-09 00:00:00,VDR-10638,0.0.0.0,False,True,10.160.12,False,True,True,-1,135,True,TCP,ALLOW,38886739,0,38886739,SID195136,False,UNKNOWN,China
FW000013089,23/08/2026 03:54,VDR-10165,181-44.144.51,122.161.65.162,97882.0,443.0,6,block,"5,333,880",33603939,SID707651,N,ALLOW_WEB,,2026-08-23 03:54:00,VDR-10165,181-44.144.51,False,True,122.161.65.162,True,False,True,-1,443,True,TCP,DENY,5333880,33603939,38937819,SID707651,False,ALLOW_WEB,Unknown
FW000010655,,LPT_11191,10.162.144.0,10.149.71,8443.0,,17,deny,20588901,21425754,SID903924,False,UNKNOWN,IN,,LPT-11191,10.162.144.0,True,False,10.149.71,False,True,True,8443,-1,True,UDP,DENY,20588901,21425754,42014655,SID903924,False,UNKNOWN,In
FW000007354,,,61.27.27.235,192.168.171.,85108.0,80.0,TCP,deny,12863477,"7,681,667",SID598053,True,DENY_TELNET,Russia,,,61.27.27.235,True,False,192.168.171.,False,True,True,-1,80,True,TCP,DENY,12863477,7681667,20545144,SID598053,True,DENY_TELNET,Russia
FW000026490,08-04-2026 03:23:15 AM,VDR-10498,105.145.224.169,192.168.70.44,8443.0,80.0,tcp,deny,35.15 MB,,SID320757,N,ALLOW_INTERNAL_DNS,,2026-04-08 03:23:15,VDR-10498,105.145.224.169,True,False,192.168.70.44,True,False,False,8443,80,False,TCP,DENY,0,0,0,SID320757,False,ALLOW_INTERNAL_DNS,Unknown
FW000007603,23/08/2026,VDR_12480,182.140.176.178,103.61.182.141,443.0,8443.0,TCP/6,BLOCK,29951357,18098013,SID531430,N,block_tor_exit,CN,2026-08-23 00:00:00,VDR-12480,182.140.176.178,True,False,103.61.182.141,True,False,False,443,8443,False,TCP,DENY,29951357,18098013,48049370,SID531430,False,BLOCK_TOR_EXIT,Cn
FW000019396,20/08/2026 21:31,VDR-11494,999.999.999.999,10-21.93,25.0,,6,ALLOW,37060184,15130.19 KB,,False,,unknown,2026-08-20 21:31:00,VDR-11494,999.999.999.999,False,True,10-21.93,False,True,True,25,-1,True,TCP,ALLOW,37060184,0,37060184,UNKNOWN_SESSION,False,UNKNOWN,Unknown
FW000024924,2026-09-08 01:05:04,VDR-11999,192.168.217.6,UNKNOWN,25.0,22.0,17,BLOCK,,6823662,SID122442,False,ALLOW_WEB,China,2026-09-08 01:05:04,VDR-11999,192.168.217.6,True,False,0.0.0.0,False,True,True,25,22,False,UDP,DENY,0,6823662,6823662,SID122442,False,ALLOW_WEB,China
FW000017708,18-Aug-2026 07:12:08,VDR-12823,192.168.36.176,172.16.164.62,443.0,25.0,TCP/6,block,13767894,35959647,SID398629,0,,China,2026-08-18 07:12:08,VDR-12823,192.168.36.176,True,False,172.16.164.62,True,False,False,443,25,False,TCP,DENY,13767894,35959647,49727541,SID398629,False,UNKNOWN,China
FW000022559,08-16-2026 11:11:41 AM,LPT-10414,UNKNOWN,10.50.186,3306.0,80.0,17,pass,13084174,,SID-878412,N,ALLOW_WEB,,2026-08-16 11:11:41,LPT-10414,0.0.0.0,False,True,10.50.186,False,True,True,3306,80,False,UDP,ALLOW,13084174,0,13084174,SID-878412,False,ALLOW_WEB,Unknown
FW000027566,,VDR-10489,192.168.245.10,192.168.67.145,3389.0,80.0,TCP,Allow,31374454,40.65 MB,SID595221,0,ALLOW_INTERNAL_DNS,Russia,,VDR-10489,192.168.245.10,True,False,192.168.67.145,True,False,False,3389,80,False,TCP,ALLOW,31374454,0,31374454,SID595221,False,ALLOW_INTERNAL_DNS,Russia
FW000019422,2026-08-07T10:38:53,ws-12913,10.153.73,172.16.48.60,,,UDP,permit,6477884,29134564,SID390749,False,BLOCK_EXTERNAL_RDP,,2026-08-07 10:38:53,WS-12913,10.153.73,False,True,172.16.48.60,True,False,True,-1,-1,True,UDP,ALLOW,6477884,29134564,35612448,SID390749,False,BLOCK_EXTERNAL_RDP,Unknown
FW000005219,1786786131,LPT-12575,192.168.51.100,172.16.75.59,3389.0,22.0,TCP,permit,"16,075,423",10802819,SID768286,False,MONITOR_DB_ACCESS,,2026-08-15 09:28:51,LPT-12575,192.168.51.100,True,False,172.16.75.59,True,False,False,3389,22,False,TCP,ALLOW,16075423,10802819,26878242,SID768286,False,MONITOR_DB_ACCESS,Unknown
FW000012543,2026-08-02 10:44:07,LPT-12597,172.16.31.14,216.109.203.198,22.0,-5.0,TCP/6,deny,1705068,3019487,SID633485,N,block_tor_exit,India,2026-08-02 10:44:07,LPT-12597,172.16.31.14,True,False,216.109.203.198,True,False,False,22,-1,True,TCP,DENY,1705068,3019487,4724555,SID633485,False,BLOCK_TOR_EXIT,India
FW000007556,19/08/2026 09:27,VDR-12465,10.117.241,172.16.3.126,443.0,443.0,UDP/17,pass,31530947,28341918,SID621222,False,ALLOW_INTERNAL_DNS,,2026-08-19 09:27:00,VDR-12465,10.117.241,False,True,172.16.3.126,True,False,True,443,443,False,UDP,ALLOW,31530947,28341918,59872865,SID621222,False,ALLOW_INTERNAL_DNS,Unknown
FW000006836,1786331511,ws-11442,UNKNOWN,172.16.12.70,8443.0,3389.0,UDP/17,drop,17008932,34016110,SID110302,False,block_tor_exit,India,2026-08-10 03:11:51,WS-11442,0.0.0.0,False,True,172.16.12.70,True,False,True,8443,3389,False,UDP,DENY,17008932,34016110,51025042,SID110302,False,BLOCK_TOR_EXIT,India
FW000016821,09/09/2026 07:45,vdr-11091,10.184.55,156.10.141.38.0,,3306.0,TCP,PERMIT,37090.27 KB,34197716,sid119564,False,DENY_TELNET,unknown,2026-09-09 07:45:00,VDR-11091,10.184.55,False,True,156.10.141.38.0,False,True,True,-1,3306,True,TCP,ALLOW,0,34197716,34197716,SID119564,False,DENY_TELNET,Unknown
FW000009483,20/08/2026,vdr-10740,172.16.176.126,192.168.176.87,,-4.0,tcp,Allow,21.1 MB,32180153,SID154338,False,ALLOW_WEB,IN,2026-08-20 00:00:00,VDR-10740,172.16.176.126,True,False,192.168.176.87,True,False,False,-1,-1,True,TCP,ALLOW,0,32180153,32180153,SID154338,False,ALLOW_WEB,In
FW000014844,16/08/2026,,172.16.235.56,101.145.78.155,,3306.0,udp,Allow,45648625,11026557,SID999774,N,,United States,2026-08-16 00:00:00,,172.16.235.56,True,False,101.145.78.155,True,False,False,-1,3306,True,UDP,ALLOW,45648625,11026557,56675182,SID999774,False,UNKNOWN,United States
FW000016637,08-08-2026 05:13:46 PM,,172.16.242.164,172.16.170.,3306.0,78703.0,TCP/6,Allow,40279097,"620,980",SID581567,no,UNKNOWN,IN,2026-08-08 17:13:46,,172.16.242.164,True,False,172.16.170.,False,True,True,3306,-1,True,TCP,ALLOW,40279097,620980,40900077,SID581567,False,UNKNOWN,In
FW000010002,2026-08-23T19:12:26,VDR-10278,UNKNOWN,,53.0,445.0,ICMP,ALLOW,38.97 MB,263790,SID361728,False,ALLOW_WEB,CN,2026-08-23 19:12:26,VDR-10278,0.0.0.0,False,True,0.0.0.0,False,True,True,53,445,False,ICMP,ALLOW,0,263790,263790,SID361728,False,ALLOW_WEB,Cn
FW000012103,27/08/2026 23:06,LPT-12231,999.999.999.999,10.94.110,-1.0,,UDP/17,pass,4510732,31653496,SID522198,N,,ind,2026-08-27 23:06:00,LPT-12231,999.999.999.999,False,True,10.94.110,False,True,True,-1,-1,True,UDP,ALLOW,4510732,31653496,36164228,SID522198,False,UNKNOWN,Ind
FW000023762,,WS-12902,UNKNOWN,189.72.46.97,84048.0,445.0,6,PERMIT,17987.53 KB,8362.26 KB,SID821602,False,UNKNOWN,RU,,WS-12902,0.0.0.0,False,True,189.72.46.97,True,False,True,-1,445,True,TCP,ALLOW,0,0,0,SID821602,False,UNKNOWN,Ru
FW000010243,2026-09-08 12:43:01,VDR_10735,999.999.999.999,,443.0,445.0,UDP/17,PASS,"39,399,009",45643710,,False,ALLOW_INTERNAL_DNS,CN,2026-09-08 12:43:01,VDR-10735,999.999.999.999,False,True,0.0.0.0,False,True,True,443,445,False,UDP,ALLOW,39399009,45643710,85042719,UNKNOWN_SESSION,False,ALLOW_INTERNAL_DNS,Cn
FW000016419,06/09/2026,LPT-11138,132-52.188.38,10.175.112,8080.0,80529.0,ping,ALLOW,"22,469,301",26318973,SID944709,0,,,2026-09-06 00:00:00,LPT-11138,132-52.188.38,False,True,10.175.112,False,True,True,8080,-1,True,PING,ALLOW,22469301,26318973,48788274,SID944709,False,UNKNOWN,Unknown
FW000016085,22/08/2026,WS_10878,10.150.204,999.999.999.999,445.0,3306.0,6,deny,47895087,-68958,SID901254,N,,,2026-08-22 00:00:00,WS-10878,10.150.204,False,True,999.999.999.999,False,True,True,445,3306,False,TCP,DENY,47895087,0,47895087,SID901254,False,UNKNOWN,Unknown
FW000002010,09-02-2026 02:27:59 AM,VDR-10222,172.16.10.213,172.16.17.,22.0,3306.0,6,pass,46422639,8455991,SID-493161,N,MONITOR_DB_ACCESS,,2026-02-09 02:27:59,VDR-10222,172.16.10.213,True,False,172.16.17.,False,True,True,22,3306,False,TCP,ALLOW,46422639,8455991,54878630,SID-493161,False,MONITOR_DB_ACCESS,Unknown
FW000018098,2026-08-12T13:59:29,VDR-11927,,999.999.999.999,76417.0,3389.0,tcp,ALLOW,,"49,501,142",,N,,China,2026-08-12 13:59:29,VDR-11927,0.0.0.0,False,True,999.999.999.999,False,True,True,-1,3389,True,TCP,ALLOW,0,49501142,49501142,UNKNOWN_SESSION,False,UNKNOWN,China
FW000024231,1787068639,WS-10036,172.16.81.226,22.45.33.226,3306.0,8080.0,udp,Allow,1119535,"49,407,356",SID826123,N,,CN,2026-08-18 15:57:19,WS-10036,172.16.81.226,True,False,22.45.33.226,True,False,False,3306,8080,False,UDP,ALLOW,1119535,49407356,50526891,SID826123,False,UNKNOWN,Cn
FW000029944,2026-08-14 05:53:13,vdr-10035,10.145.63,10.2.124.0,3306.0,22.0,UDP,permit,,26572596,SID212194,N,DENY_TELNET,RU,2026-08-14 05:53:13,VDR-10035,10.145.63,False,True,10.2.124.0,True,False,True,3306,22,False,UDP,ALLOW,0,26572596,26572596,SID212194,False,DENY_TELNET,Ru
FW000027337,,VDR_12513,10.53.34.0,10.236.144,99622.0,22.0,TCP,pass,"3,866,855",40903083,SID993036,no,MONITOR_DB_ACCESS,,,VDR-12513,10.53.34.0,True,False,10.236.144,False,True,True,-1,22,True,TCP,ALLOW,3866855,40903083,44769938,SID993036,False,MONITOR_DB_ACCESS,Unknown
FW000017809,12/08/2026 21:26,VDR-10611.corp.local,137.144.198.79,72-80.209.40,,3389.0,TCP/6,PERMIT,28432888,"32,585,454",SID535128,False,ALLOW_INTERNAL_DNS,,2026-08-12 21:26:00,VDR-10611,137.144.198.79,True,False,72-80.209.40,False,True,True,-1,3389,True,TCP,ALLOW,28432888,32585454,61018342,SID535128,False,ALLOW_INTERNAL_DNS,Unknown
FW000023405,21-Aug-2026 18:32:52,WS-11108,172.16.232.92,207.142.86.138,135.0,25.0,tcp,pass,668.69 KB,,,True,allow_office_apps,CN,2026-08-21 18:32:52,WS-11108,172.16.232.92,True,False,207.142.86.138,True,False,False,135,25,False,TCP,ALLOW,0,0,0,UNKNOWN_SESSION,True,ALLOW_OFFICE_APPS,Cn
FW000008539,03/08/2026,,220.38.192.191.0,999.999.999.999,443.0,25.0,TCP/6,PERMIT,26905208,"12,423,698",SID296803,no,ALLOW_WEB,Russia,2026-08-03 00:00:00,,220.38.192.191.0,False,True,999.999.999.999,False,True,True,443,25,False,TCP,ALLOW,26905208,12423698,39328906,SID296803,False,ALLOW_WEB,Russia
FW000003800,28/08/2026,lpt-11299,999.999.999.999,10.96.232,,3389.0,TCP/6,ALLOW,38911739,41161430,SID787610,False,UNKNOWN,United States,2026-08-28 00:00:00,LPT-11299,999.999.999.999,False,True,10.96.232,False,True,True,-1,3389,True,TCP,ALLOW,38911739,41161430,80073169,SID787610,False,UNKNOWN,United States
FW000010782,,LPT-10842,10.183.42,212.163.80.67,8443.0,53.0,TCP/6,PASS,36830616,"30,278,320",SID535530,False,MONITOR_DB_ACCESS,,,LPT-10842,10.183.42,False,True,212.163.80.67,True,False,True,8443,53,False,TCP,ALLOW,36830616,30278320,67108936,SID535530,False,MONITOR_DB_ACCESS,Unknown
FW000009004,2026-09-04 16:06:40,,,UNKNOWN,1433.0,3389.0,6,ALLOW,43780920,41194567,SID916554,True,block_tor_exit,unknown,2026-09-04 16:06:40,,0.0.0.0,False,True,0.0.0.0,False,True,True,1433,3389,False,TCP,ALLOW,43780920,41194567,84975487,SID916554,True,BLOCK_TOR_EXIT,Unknown
FW000023602,27-Aug-2026 10:30:48,LPT-12843,10.9.18,172.151.155.186,443.0,8080.0,TCP,drop,,4771475,SID550712,False,,,2026-08-27 10:30:48,LPT-12843,10.9.18,False,True,172.151.155.186,True,False,True,443,8080,False,TCP,DENY,0,4771475,4771475,SID550712,False,UNKNOWN,Unknown
FW000008301,2026-08-09 04:28:54,VDR-11599,10.107.53,UNKNOWN,8443.0,3306.0,ICMP,PASS,"41,041,611",47895945,SID184900,False,,IN,2026-08-09 04:28:54,VDR-11599,10.107.53,False,True,0.0.0.0,False,True,True,8443,3306,False,ICMP,ALLOW,41041611,47895945,88937556,SID184900,False,UNKNOWN,In
FW000008945,2026-08-29T05:34:23,VDR-11047,UNKNOWN,172.16.48.100,443.0,3389.0,TCP/6,ALLOW,,37127287,,False,ALLOW_WEB,Russia,2026-08-29 05:34:23,VDR-11047,0.0.0.0,False,True,172.16.48.100,True,False,True,443,3389,False,TCP,ALLOW,0,37127287,37127287,UNKNOWN_SESSION,False,ALLOW_WEB,Russia
FW000026442,06-Aug-2026 11:56:12,LPT-12370,10.97.19,192.168.211.188,135.0,8443.0,tcp,permit,28802832,15.67 MB,,N,BLOCK_EXTERNAL_RDP,IN,2026-08-06 11:56:12,LPT-12370,10.97.19,False,True,192.168.211.188,True,False,True,135,8443,False,TCP,ALLOW,28802832,0,28802832,UNKNOWN_SESSION,False,BLOCK_EXTERNAL_RDP,In
FW000005721,01/08/2026,LPT_11751,10.64.134,202.251.108.84,80.0,53.0,6,PERMIT,48755707,"21,659,021",SID331359,no,block_tor_exit,China,2026-08-01 00:00:00,LPT-11751,10.64.134,False,True,202.251.108.84,True,False,True,80,53,False,TCP,ALLOW,48755707,21659021,70414728,SID331359,False,BLOCK_TOR_EXIT,China
FW000027420,1787041736,LPT-11683,172.16.190.39,192.168.53.57,3306.0,445.0,TCP,deny,-18460277,38746517,,0,MONITOR_DB_ACCESS,,2026-08-18 08:28:56,LPT-11683,172.16.190.39,True,False,192.168.53.57,True,False,False,3306,445,False,TCP,DENY,0,38746517,38746517,UNKNOWN_SESSION,False,MONITOR_DB_ACCESS,Unknown
FW000021832,04/08/2026 17:49,VDR-11264,999.999.999.999,172.16.247.246.0,3389.0,53.0,TCP,pass,47344876,,SID772491,False,,US,2026-08-04 17:49:00,VDR-11264,999.999.999.999,False,True,172.16.247.246.0,False,True,True,3389,53,False,TCP,ALLOW,47344876,0,47344876,SID772491,False,UNKNOWN,Us
FW000000737,10/08/2026 08:24,VDR-10599,999.999.999.999,,1433.0,8080.0,UDP,ALLOW,"44,624,586","1,792,891",sid914418,False,ALLOW_INTERNAL_DNS,IN,2026-08-10 08:24:00,VDR-10599,999.999.999.999,False,True,0.0.0.0,False,True,True,1433,8080,False,UDP,ALLOW,44624586,1792891,46417477,SID914418,False,ALLOW_INTERNAL_DNS,In
FW000025249,25/08/2026 04:25,WS-12077,172.16.30.48,113.168.91.146,25.0,8080.0,tcp,PERMIT,19476522,-8667081,SID504338,N,allow_office_apps,United States,2026-08-25 04:25:00,WS-12077,172.16.30.48,True,False,113.168.91.146,True,False,False,25,8080,False,TCP,ALLOW,19476522,0,19476522,SID504338,False,ALLOW_OFFICE_APPS,United States
FW000008944,2026-08-08 02:28:06,VDR-12312,999.999.999.999,172.16.61.25,443.0,22.0,tcp,PERMIT,46331420,26933750,,False,,RU,2026-08-08 02:28:06,VDR-12312,999.999.999.999,False,True,172.16.61.25,True,False,True,443,22,False,TCP,ALLOW,46331420,26933750,73265170,UNKNOWN_SESSION,False,UNKNOWN,Ru
FW000007651,2026-08-16 00:06:07,WS-12232,10.38.136.0,,3306.0,,6,ALLOW,45992400,22.39 MB,SID-629452,0,BLOCK_EXTERNAL_RDP,CN,2026-08-16 00:06:07,WS-12232,10.38.136.0,True,False,0.0.0.0,False,True,True,3306,-1,True,TCP,ALLOW,45992400,0,45992400,SID-629452,False,BLOCK_EXTERNAL_RDP,Cn
FW000008226,08/09/2026 04:56,WS-10325,10.13.214,90.101.122.41,3389.0,25.0,UDP,PASS,"28,224,587",4949010,SID-518246,False,ALLOW_WEB,,2026-09-08 04:56:00,WS-10325,10.13.214,False,True,90.101.122.41,True,False,True,3389,25,False,UDP,ALLOW,28224587,4949010,33173597,SID-518246,False,ALLOW_WEB,Unknown
FW000006217,08-01-2026 05:20:40 AM,VDR-12464,172.16.247.35,95.178.8.138.0,3389.0,,tcp,block,39884181,44085.69 KB,sid242697,0,DENY_TELNET,,2026-01-08 05:20:40,VDR-12464,172.16.247.35,True,False,95.178.8.138.0,False,True,True,3389,-1,True,TCP,DENY,39884181,0,39884181,SID242697,False,DENY_TELNET,Unknown
FW000015063,2026/09/01,,10.232.233.,192.168.198.8,-1.0,443.0,TCP,deny,15622.93 KB,42134729,SID997151,0,block_tor_exit,unknown,2026-09-01 00:00:00,,10.232.233.,False,True,192.168.198.8,True,False,True,-1,443,True,TCP,DENY,0,42134729,42134729,SID997151,False,BLOCK_TOR_EXIT,Unknown
FW000028466,2026-09-08 10:13:05,VDR-10843,10.46.72,192.168.185.116,135.0,8080.0,tcp,permit,32713900,25286876,sid763339,False,DENY_TELNET,United States,2026-09-08 10:13:05,VDR-10843,10.46.72,False,True,192.168.185.116,True,False,True,135,8080,False,TCP,ALLOW,32713900,25286876,58000776,SID763339,False,DENY_TELNET,United States
FW000014665,1785583056,VDR-10718,172.16.24.64,192.168.153.88,-4.0,8080.0,TCP,Allow,42.35 MB,6638209,SID104189,no,BLOCK_EXTERNAL_RDP,China,2026-08-01 11:17:36,VDR-10718,172.16.24.64,True,False,192.168.153.88,True,False,False,-1,8080,True,TCP,ALLOW,0,6638209,6638209,SID104189,False,BLOCK_EXTERNAL_RDP,China
FW000011605,2026-08-09 09:35:14,WS-10546,999.999.999.999,10.192.52,3389.0,445.0,tcp,PERMIT,,,SID335655,False,block_tor_exit,China,2026-08-09 09:35:14,WS-10546,999.999.999.999,False,True,10.192.52,False,True,True,3389,445,False,TCP,ALLOW,0,0,0,SID335655,False,BLOCK_TOR_EXIT,China
FW000002993,2026/08/26,WS_10252,10-30.87,187.147.89.171,86579.0,1433.0,TCP/6,Allow,36283679,-45801829,SID714560,False,,unknown,2026-08-26 00:00:00,WS-10252,10-30.87,False,True,187.147.89.171,True,False,True,-1,1433,True,TCP,ALLOW,36283679,0,36283679,SID714560,False,UNKNOWN,Unknown
FW000005101,29-Aug-2026 21:33:23,,172.16.127.6,192-168.243.173,3389.0,3389.0,ICMP,pass,"24,938,196",46204596,,no,block_tor_exit,IN,2026-08-29 21:33:23,,172.16.127.6,True,False,192-168.243.173,False,True,True,3389,3389,False,ICMP,ALLOW,24938196,46204596,71142792,UNKNOWN_SESSION,False,BLOCK_TOR_EXIT,In
FW000000429,1786132508,lpt-11011,159.186.89.212.0,999.999.999.999,,443.0,6,pass,33029976,"11,744,013",SID882944,False,UNKNOWN,China,2026-08-07 19:55:08,LPT-11011,159.186.89.212.0,False,True,999.999.999.999,False,True,True,-1,443,True,TCP,ALLOW,33029976,11744013,44773989,SID882944,False,UNKNOWN,China
FW000028507,2026-08-28 17:47:03,LPT-10854,10.148.230,192.168.66.78.0,445.0,-4.0,tcp,Deny,"19,069,910",,SID940336,True,,,2026-08-28 17:47:03,LPT-10854,10.148.230,False,True,192.168.66.78.0,False,True,True,445,-1,True,TCP,DENY,19069910,0,19069910,SID940336,True,UNKNOWN,Unknown
FW000004161,2026-08-18 23:38:59,VDR-10482,10.87.211,172.16.220.49,443.0,8080.0,UDP/17,PASS,"35,873,798",46934177,SID-670517,False,ALLOW_INTERNAL_DNS,India,2026-08-18 23:38:59,VDR-10482,10.87.211,False,True,172.16.220.49,True,False,True,443,8080,False,UDP,ALLOW,35873798,46934177,82807975,SID-670517,False,ALLOW_INTERNAL_DNS,India
FW000007101,2026-08-09T18:46:12,LPT-11055,192.168.11.62,10.249.161,3389.0,25.0,6,Allow,47.17 MB,1.5 MB,SID538498,False,,CN,2026-08-09 18:46:12,LPT-11055,192.168.11.62,True,False,10.249.161,False,True,True,3389,25,False,TCP,ALLOW,0,0,0,SID538498,False,UNKNOWN,Cn
FW000022267,02/08/2026 12:14,LPT-10356,172-16.119.91,152.71.247.39,8080.0,443.0,6,Deny,18652452,32388589,SID329262,False,,,2026-08-02 12:14:00,LPT-10356,172-16.119.91,False,True,152.71.247.39,True,False,True,8080,443,False,TCP,DENY,18652452,32388589,51041041,SID329262,False,UNKNOWN,Unknown
FW000019303,2026/09/02,,10.49.232,10.169.98,3389.0,76403.0,tcp,PERMIT,19202469,25842703,SID998455,False,ALLOW_INTERNAL_DNS,US,2026-09-02 00:00:00,,10.49.232,False,True,10.169.98,False,True,True,3389,-1,True,TCP,ALLOW,19202469,25842703,45045172,SID998455,False,ALLOW_INTERNAL_DNS,Us
FW000017610,1788732698,LPT-11870,UNKNOWN,121.108.104.116,22.0,53.0,1,Allow,28163533,23915413,SID-692608,False,,RU,2026-09-06 22:11:38,LPT-11870,0.0.0.0,False,True,121.108.104.116,True,False,True,22,53,False,ICMP,ALLOW,28163533,23915413,52078946,SID-692608,False,UNKNOWN,Ru
