event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location,timestamp_clean,user_id_clean,username_clean,department_clean,event_type_clean,event_category,is_failed_login,is_mfa_failed,auth_method_clean,source_ip_clean,is_source_ip_valid,is_source_ip_tampered,hostname_clean,device_id_clean,session_id_clean,mfa_passed_clean,failure_reason_clean,risk_score_clean,geo_location_clean
IAM00007817,13/08/2026 10:49,emp_11436,christopher.sarna67,RD,invalid_credentials,PASSWORD,192.168.42.,VDR_11436,DEV60551,SID659017,False,expired password,142,,2026-08-13 10:49:00,EMP11436,christopher.sarna67,Rd,LOGIN_FAILED,login_failed,True,False,PASSWORD,192.168.42.,False,True,VDR-11436,DEV-60551,SID659017,False,expired password,100.0,Unknown
IAM00019438,2026-09-01 21:04:48,emp10912,mohammed.devan20,operations dept,Login Failed,biometric,24.235.2.,LPT-10912,DEV26119,,N,OTP expired,48,Maharashtra,2026-09-01 21:04:48,EMP10912,mohammed.devan20,Operations,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,24.235.2.,False,True,LPT-10912,DEV-26119,UNKNOWN_SESSION,False,OTP expired,48.0,Maharashtra
IAM00019877,08-15-2026 11:40:14 AM,EMP11632,wridesh.thakur86,Marketing,MFA_FAILED,OTP,36.141.191.113,VDR-11632,DEV92076,,False,account locked,208,,2026-08-15 11:40:14,EMP11632,wridesh.thakur86,Marketing,MFA_FAILED,mfa_failed,True,True,OTP,36.141.191.113,True,False,VDR-11632,DEV-92076,UNKNOWN_SESSION,False,account locked,100.0,
IAM00010429,05/09/2026,emp12973,MANYA.CHAKRABARTI30,OPERATIONS,success_login,sso,172.16.118.90,LPT-12973,DEV53857,SID662830,yes,,79,PB,2026-09-05 00:00:00,EMP12973,manya.chakrabarti30,Operations,SUCCESS_LOGIN,other,False,False,SSO,172.16.118.90,True,False,LPT-12973,DEV-53857,SID662830,True,,79.0,PB
IAM00019043,09-05-2026 07:18:17 AM,EMP12622,bimala.kuruvilla18,Sales,LOGON_FAILURE,password,107.242.96.202,LPT-12622,DEV25930,,0,expired password,45,,2026-05-09 07:18:17,EMP12622,bimala.kuruvilla18,Sales,LOGIN_FAILED,login_failed,True,False,PASSWORD,107.242.96.202,True,False,LPT-12622,DEV-25930,UNKNOWN_SESSION,False,expired password,45.0,
IAM00012228,01/09/2026 20:44,12505,radhika.bath93,Purchase,ACCOUNT_UNLOCK,biometric,85.253.27.160,LPT_12505,DEV68365,,False,,46/100,Maharashtra,2026-09-01 20:44:00,EMP12505,radhika.bath93,Purchase,ACCOUNT_STATUS_CHANGE,account_action,False,False,BIOMETRIC,85.253.27.160,True,False,LPT-12505,DEV-68365,UNKNOWN_SESSION,False,None,46.0,Maharashtra
IAM00018081,04-Aug-2026 08:56:32,12175,ira.kaul35,,LOGIN_SUCCESS,SSO,999.999.999.999,WS-12175.corp.local,DEV44487,SID494071,False,,75,IN,2026-08-04 08:56:32,EMP12175,ira.kaul35,Unknown,LOGIN_SUCCESS,login_success,False,False,SSO,999.999.999.999,False,True,WS-12175,DEV-44487,SID494071,False,,75.0,IN
IAM00015178,2026-09-06 21:47:12,EMP12704,vedhika.khatri69,Purchase,invalid_credentials,biometric,172.16.82.192,LPT_12704,DEV49043,,False,OTP expired,46,,2026-09-06 21:47:12,EMP12704,vedhika.khatri69,Purchase,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,172.16.82.192,True,False,LPT-12704,DEV-49043,UNKNOWN_SESSION,False,OTP expired,46.0,Unknown
IAM00001123,2026-08-26 19:16:45,EMP10486,thomas.kaul29,,LOGON_FAILURE,certificate,192.168.75.75,WS-10486,DEV48479,SID505840,True,timeout,99/100,remote,2026-08-26 19:16:45,EMP10486,thomas.kaul29,Unknown,LOGIN_FAILED,login_failed,True,False,CERTIFICATE,192.168.75.75,True,False,WS-10486,DEV-48479,SID505840,True,timeout,99.0,remote
IAM00008713,,EMP10726,orinder_sanghvi74,IT Dept,AUTH_SUCCESS,otp,142.16.111.169,,DEV72670,,False,,,Punjab,,EMP10726,orinder_sanghvi74,Engineering,LOGIN_SUCCESS,login_success,False,False,OTP,142.16.111.169,True,False,,DEV-72670,UNKNOWN_SESSION,False,None,0.0,Punjab
IAM00007968,08-13-2026 08:36:28 AM,EMP12197,qasim.rout20,People Team,FAILED_LOGIN,BIOMETRIC,172.16.58.169,LPT-12197,NA,SID184227,1,account locked,90,Punjab,2026-08-13 08:36:28,EMP12197,qasim.rout20,People Team,FAILED_LOGIN,other,False,False,BIOMETRIC,172.16.58.169,True,False,LPT-12197,,SID184227,True,account locked,90.0,Punjab
IAM00000908,08-31-2026 06:20:13 PM,emp12144,krishna.gala53,Brand Team,invalid_credentials,Certificate,10.173.123,LPT_12144,DEV10044,SID243770,N,,23,,2026-08-31 18:20:13,EMP12144,krishna.gala53,Brand Team,LOGIN_FAILED,login_failed,True,False,CERTIFICATE,10.173.123,False,True,LPT-12144,DEV-10044,SID243770,False,,23.0,Unknown
IAM00013125,,EMP12056,chakradev.ramaswamy82,LEGAL,DEVICE_REGISTERED,certificate,,LPT_12056,DEV99390,,False,,29,Delhi,,EMP12056,chakradev.ramaswamy82,Legal,DEVICE_REGISTERED,other,False,False,CERTIFICATE,0.0.0.0,False,True,LPT-12056,DEV-99390,UNKNOWN_SESSION,False,,29.0,Delhi
IAM00014481,,EMP 10317,girik.merchant23,Call Center,AUTH_FAILED,biometric,192.168.70.191,WS-10317,DEV28388,,False,bad token,232,Delhi,,EMP10317,girik.merchant23,Call Center,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,192.168.70.191,True,False,WS-10317,DEV-28388,UNKNOWN_SESSION,False,bad token,100.0,Delhi
IAM00001695,06-Sep-2026 14:22:36,EMP 10795,aditya.nagarajan68,,AUTH_SUCCESS,certificate,192.168.59.37,VDR-10795,DEV34018,SID785493,True,,61,Delhi,2026-09-06 14:22:36,EMP10795,aditya.nagarajan68,Unknown,LOGIN_SUCCESS,login_success,False,False,CERTIFICATE,192.168.59.37,True,False,VDR-10795,DEV-34018,SID785493,True,,61.0,Delhi
IAM00001632,07-Sep-2026 09:13:06,EMP11969,theodore.pandya55,,Successful Login,certificate,UNKNOWN,VDR-11969,DEV22580,SID303551,True,,3,IN,2026-09-07 09:13:06,EMP11969,theodore.pandya55,Unknown,SUCCESSFUL_LOGIN,other,False,False,CERTIFICATE,0.0.0.0,False,True,VDR-11969,DEV-22580,SID303551,True,,3.0,IN
IAM00008500,2026/08/23,emp11411,zaid.raval52,Brand Team,Login Success,otp,10.0.204,VDR-11411,DEV96424,,Y,,78,PB,2026-08-23 00:00:00,EMP11411,zaid.raval52,Brand Team,LOGIN_SUCCESS,login_success,False,False,OTP,10.0.204,False,True,VDR-11411,DEV-96424,UNKNOWN_SESSION,True,None,78.0,PB
IAM00009796,2026-08-22 06:29:28,emp10845,abeer.kashyap41,Ops Team,ACCOUNT_LOCK,password,192.168.119.1,,DEV40924,SID-761290,yes,,93,UNKNOWN,2026-08-22 06:29:28,EMP10845,abeer.kashyap41,Operations,ACCOUNT_STATUS_CHANGE,account_action,False,False,PASSWORD,192.168.119.1,True,False,,DEV-40924,SID-761290,True,,93.0,UNKNOWN
IAM00016398,2026-08-26 14:42:42,EMP11001,aarush.prashad25,Procurement,LOGIN_SUCCESS,Certificate,172.16.85.218.0,VDR-11001,DEV81188,SID692231,True,NA,92/100,Delhi,2026-08-26 14:42:42,EMP11001,aarush.prashad25,Procurement,LOGIN_SUCCESS,login_success,False,False,CERTIFICATE,172.16.85.218.0,False,True,VDR-11001,DEV-81188,SID692231,True,NA,92.0,Delhi
IAM00006344,2026-08-30 13:44:08,EMP-10540,zinal.samra91,,success_login,certificate,192.168.175.195,WS-10540,DEV83284,SID583041,True,NA,81,DL,2026-08-30 13:44:08,EMP10540,zinal.samra91,Unknown,SUCCESS_LOGIN,other,False,False,CERTIFICATE,192.168.175.195,True,False,WS-10540,DEV-83284,SID583041,True,NA,81.0,DL
IAM00009028,21/08/2026,emp10750,WAZIR.BOBAL30,,LOGON_SUCCESS,sso,104.39.84.130,,DEV41079,SID303611,True,,11,IN,2026-08-21 00:00:00,EMP10750,wazir.bobal30,Unknown,LOGIN_SUCCESS,login_success,False,False,SSO,104.39.84.130,True,False,,DEV-41079,SID303611,True,,11.0,IN
IAM00019876,2026-08-05T06:45:32,EMP11269,ekavir.kalita10,Fin,Successful Login,Certificate,,WS-11269,,SID558111,Y,,64,UNKNOWN,2026-08-05 06:45:32,EMP11269,ekavir.kalita10,Finance,SUCCESSFUL_LOGIN,other,False,False,CERTIFICATE,0.0.0.0,False,True,WS-11269,,SID558111,True,None,64.0,UNKNOWN
IAM00016832,26/08/2026 23:20,EMP 11877,  osha.mani16  ,Supply Chain,Successful Login,MFA,10.250.140,VDR-11877,DEV51558,,True,,94,UNKNOWN,2026-08-26 23:20:00,EMP11877,osha.mani16,Supply Chain,SUCCESSFUL_LOGIN,other,False,False,MFA,10.250.140,False,True,VDR-11877,DEV-51558,UNKNOWN_SESSION,True,None,94.0,UNKNOWN
IAM00017893,13/08/2026,12179,bhavika.naidu97,,AUTH_SUCCESS,biometric,10.255.45,WS-12179,DEV57451,,Y,,52,IN,2026-08-13 00:00:00,EMP12179,bhavika.naidu97,Unknown,LOGIN_SUCCESS,login_success,False,False,BIOMETRIC,10.255.45,False,True,WS-12179,DEV-57451,UNKNOWN_SESSION,True,,52.0,IN
IAM00011019,2026-08-02T17:40:34,EMP 11788,yadavi.kaur93,Mktg,SSO_SUCCESS,password,192.168.182.20,LPT-11788,,SID171239,True,NA,173,India,2026-08-02 17:40:34,EMP11788,yadavi.kaur93,Marketing,SSO_SUCCESS,other,False,False,PASSWORD,192.168.182.20,True,False,LPT-11788,,SID171239,True,NA,100.0,India
IAM00002644,21/08/2026 08:44,EMP11178,mason.goyal5,,LOGIN_FAILED,SSO,134.214.48.30,LPT-11178,DEV11424,,False,,102,ind,2026-08-21 08:44:00,EMP11178,mason.goyal5,Unknown,LOGIN_FAILED,login_failed,True,False,SSO,134.214.48.30,True,False,LPT-11178,DEV-11424,UNKNOWN_SESSION,False,,100.0,ind
IAM00018557,2026-09-02 00:45:04,EMP 11559,girish.jayaraman91,,success_login,SSO,192.168.14.231,VDR-11559.corp.local,DEV85650,SID715746,True,NA,24,,2026-09-02 00:45:04,EMP11559,girish.jayaraman91,Unknown,SUCCESS_LOGIN,other,False,False,SSO,192.168.14.231,True,False,VDR-11559,DEV-85650,SID715746,True,NA,24.0,
IAM00000277,1786980434,EMP10606,hemani.bose33,,success_login,PASSWORD,10.181.166,WS-10606,DEV10025,SID484519,True,NA,78,Delhi,2026-08-17 15:27:14,EMP10606,hemani.bose33,Unknown,SUCCESS_LOGIN,other,False,False,PASSWORD,10.181.166,False,True,WS-10606,DEV-10025,SID484519,True,NA,78.0,Delhi
IAM00000759,2026-08-27T16:20:33,11829,,Supply Chain,AUTH_SUCCESS,sso,175.129.29.65,WS_11829,DEV43827,SID105481,True,,-4,,2026-08-27 16:20:33,EMP11829,,Supply Chain,LOGIN_SUCCESS,login_success,False,False,SSO,175.129.29.65,True,False,WS-11829,DEV-43827,SID105481,True,None,0.0,
IAM00004991,,10280,  naksh.wali11  ,information tech,LOGIN_SUCCESS,otp,207.18.160.109,WS-10280,DEV59436,SID161473,True,,29,PB,,EMP10280,naksh.wali11,Engineering,LOGIN_SUCCESS,login_success,False,False,OTP,207.18.160.109,True,False,WS-10280,DEV-59436,SID161473,True,None,29.0,PB
IAM00003438,08-30-2026 05:51:48 AM,EMP10585,  jagdish.reddy67  ,Human Resources,Successful Login,password,56.41.11.203,VDR-10585,NA,SID194230,False,NA,60,IN,2026-08-30 05:51:48,EMP10585,jagdish.reddy67,Human Resources,SUCCESSFUL_LOGIN,other,False,False,PASSWORD,56.41.11.203,True,False,VDR-10585,,SID194230,False,NA,60.0,IN
IAM00000401,,EMP 10340,prisha.venkataraman28,Accounts,AUTH_SUCCESS,certificate,192.168.195.151,VDR-10340,,SID919749,True,,17,,,EMP10340,prisha.venkataraman28,Finance,LOGIN_SUCCESS,login_success,False,False,CERTIFICATE,192.168.195.151,True,False,VDR-10340,,SID919749,True,,17.0,
IAM00017849,,EMP-12111,CHATRESH.KRISH60,Business Sales,LOGON_SUCCESS,BIOMETRIC,192-168.46.189,LPT-12111,DEV47712,SID736536,N,,55/100,Maharashtra,,EMP12111,chatresh.krish60,Sales,LOGIN_SUCCESS,login_success,False,False,BIOMETRIC,192.168.46.189,True,False,LPT-12111,DEV-47712,SID736536,False,,55.0,Maharashtra
IAM00010888,08-13-2026 06:35:41 PM,EMP 10912,mohammed_devan20,Ops,LOGON_FAILURE,sso,172.16.186.37,LPT-10912,NA,SID353274,False,,77,,2026-08-13 18:35:41,EMP10912,mohammed_devan20,Operations,LOGIN_FAILED,login_failed,True,False,SSO,172.16.186.37,True,False,LPT-10912,,SID353274,False,,77.0,Unknown
IAM00005264,2026-08-17T18:54:33,12505,radhika.bath93,Supply Chain,MFA_FAILED,password,30.115.22.53,LPT-12505,DEV68365,SID357127,True,NA,72,UNKNOWN,2026-08-17 18:54:33,EMP12505,radhika.bath93,Supply Chain,MFA_FAILED,mfa_failed,True,True,PASSWORD,30.115.22.53,True,False,LPT-12505,DEV-68365,SID357127,True,NA,72.0,UNKNOWN
IAM00013994,17/08/2026,12775,AZAD.DARA84,Innovation,MFA_FAILED,otp,192.168.5.2,VDR-12775,DEV18826,,True,unknown user,HIGH,PB,2026-08-17 00:00:00,EMP12775,azad.dara84,Innovation,MFA_FAILED,mfa_failed,True,True,OTP,192.168.5.2,True,False,VDR-12775,DEV-18826,UNKNOWN_SESSION,True,unknown user,75.0,PB
IAM00011264,09-01-2026 03:43:28 PM,EMP10446,arunima.ramaswamy21,IT Support,invalid_credentials,biometric,192.168.6.22,LPT-10446.corp.local,DEV73001,SID850207,False,,47,,2026-01-09 15:43:28,EMP10446,arunima.ramaswamy21,Support,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,192.168.6.22,True,False,LPT-10446,DEV-73001,SID850207,False,,47.0,Unknown
IAM00019608,07/09/2026 05:49,10746,oviya.acharya25,HR,success_login,biometric,172.16.228.59,WS-10746,DEV75210,,True,,14,India,2026-09-07 05:49:00,EMP10746,oviya.acharya25,Human Resources,SUCCESS_LOGIN,other,False,False,BIOMETRIC,172.16.228.59,True,False,WS-10746,DEV-75210,UNKNOWN_SESSION,True,,14.0,India
IAM00004561,1788416645,EMP12550,charan.vora9,Research and Development,LOGON_SUCCESS,sso,10.165.163,WS-12550,DEV50159,SID685934,Y,NA,99,DL,2026-09-03 06:24:05,EMP12550,charan.vora9,R&D,LOGIN_SUCCESS,login_success,False,False,SSO,10.165.163,False,True,WS-12550,DEV-50159,SID685934,True,NA,99.0,DL
IAM00000365,06-Aug-2026 23:24:39,emp12079,  upasna.choudhary60  ,Call Center,LOGON_FAILURE,biometric,10.211.152,VDR-12079,DEV67458,SID961370,True,,6,Delhi,2026-08-06 23:24:39,EMP12079,upasna.choudhary60,Call Center,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,10.211.152,False,True,VDR-12079,DEV-67458,SID961370,True,,6.0,Delhi
IAM00000883,31/08/2026 13:23,EMP 10554,,Ops Team,Login Failed,sso,15.243.10.56,WS-10554,DEV37594,,True,account locked,50,Delhi,2026-08-31 13:23:00,EMP10554,,Operations,LOGIN_FAILED,login_failed,True,False,SSO,15.243.10.56,True,False,WS-10554,DEV-37594,UNKNOWN_SESSION,True,account locked,50.0,Delhi
IAM00005465,,EMP10843,amol.dayal53,OPERATIONS,LOGIN_SUCCESS,otp,185.219.137.216,VDR-10843,DEV28423,,True,NA,70,,,EMP10843,amol.dayal53,Operations,LOGIN_SUCCESS,login_success,False,False,OTP,185.219.137.216,True,False,VDR-10843,DEV-28423,UNKNOWN_SESSION,True,NA,70.0,
IAM00018271,,EMP12423,PRISHA.MAHAL39,IT,Login Failed,Certificate,134.222.153.,VDR-12423,DEV24383,,N,bad token,19,Maharashtra,,EMP12423,prisha.mahal39,Engineering,LOGIN_FAILED,login_failed,True,False,CERTIFICATE,134.222.153.,False,True,VDR-12423,DEV-24383,UNKNOWN_SESSION,False,bad token,19.0,Maharashtra
IAM00010074,2026-08-26 14:04:32,EMP12777,yamini.lal74,RnD,AUTH_SUCCESS,mfa,999.999.999.999,VDR-12777,,SID190608,True,NA,100,India,2026-08-26 14:04:32,EMP12777,yamini.lal74,R&D,LOGIN_SUCCESS,login_success,False,False,MFA,999.999.999.999,False,True,VDR-12777,,SID190608,True,NA,100.0,India
IAM00006398,01/08/2026 05:43,EMP10356,samaksh.munshi71,Legal Dept,success_login,biometric,96-112.162.62,LPT-10356,DEV64559,,yes,NA,130,PB,2026-08-01 05:43:00,EMP10356,samaksh.munshi71,Legal,SUCCESS_LOGIN,other,False,False,BIOMETRIC,96.112.162.62,True,False,LPT-10356,DEV-64559,UNKNOWN_SESSION,True,NA,100.0,PB
IAM00007012,08-06-2026 02:27:35 AM,EMP12061,harish.sura83,IT,LOGON_SUCCESS,biometric,172.16.61.194,lpt-12061,DEV17731,SID983969,True,,48,PB,2026-06-08 02:27:35,EMP12061,harish.sura83,Engineering,LOGIN_SUCCESS,login_success,False,False,BIOMETRIC,172.16.61.194,True,False,LPT-12061,DEV-17731,SID983969,True,None,48.0,PB
IAM00014128,10/08/2026 09:14,EMP10781,rohan.wali29,RD,AUTH_SUCCESS,sso,192.168.32.10,WS-10781,,SID705402,True,,90,IN,2026-08-10 09:14:00,EMP10781,rohan.wali29,Rd,LOGIN_SUCCESS,login_success,False,False,SSO,192.168.32.10,True,False,WS-10781,,SID705402,True,,90.0,IN
IAM00003459,27/08/2026 13:30,EMP 12353,veda_sidhu82,Business Sales,Login Success,certificate,,VDR-12353,DEV50470,,False,NA,-8,ind,2026-08-27 13:30:00,EMP12353,veda_sidhu82,Sales,LOGIN_SUCCESS,login_success,False,False,CERTIFICATE,0.0.0.0,False,True,VDR-12353,DEV-50470,UNKNOWN_SESSION,False,NA,0.0,ind
IAM00014663,2026-08-17T10:16:23,emp_10525,sachi_sinha77,IT Support,success_login,Certificate,192.168.254.61,LPT-10525,DEV22214,,True,NA,213,IN,2026-08-17 10:16:23,EMP10525,sachi_sinha77,Support,SUCCESS_LOGIN,other,False,False,CERTIFICATE,192.168.254.61,True,False,LPT-10525,DEV-22214,UNKNOWN_SESSION,True,NA,100.0,IN
IAM00014377,19-Aug-2026 00:03:30,EMP12579,balveer.nair93,IT,success_login,sso,10.70.53.0,VDR-12579,DEV22006,SID271554,True,,High,remote,2026-08-19 00:03:30,EMP12579,balveer.nair93,Engineering,SUCCESS_LOGIN,other,False,False,SSO,10.70.53.0,True,False,VDR-12579,DEV-22006,SID271554,True,,75.0,remote
IAM00004374,2026-08-29 12:39:01,EMP12157,vansha.chadha57,Marketing,PRIVILEGE_ESCALATION_REQUEST,mfa,,VDR-12157,DEV50940,,True,,9,PB,2026-08-29 12:39:01,EMP12157,vansha.chadha57,Marketing,PRIVILEGE_CHANGE,account_action,False,False,MFA,0.0.0.0,False,True,VDR-12157,DEV-50940,UNKNOWN_SESSION,True,,9.0,PB
IAM00015556,,EMP-12197,qasim.rout20,HR,AUTH_SUCCESS,PASSWORD,172.16.250.,LPT_12197,DEV61366,,False,,50,remote,,EMP12197,qasim.rout20,Human Resources,LOGIN_SUCCESS,login_success,False,False,PASSWORD,172.16.250.,False,True,LPT-12197,DEV-61366,UNKNOWN_SESSION,False,,50.0,remote
IAM00008339,2026-08-13T14:26:18,EMP-10320,  hredhaan.tank29  ,marketing dept,SSO_SUCCESS,biometric,10.130.201,LPT-10320,NA,SID469797,True,,0,ind,2026-08-13 14:26:18,EMP10320,hredhaan.tank29,Marketing,SSO_SUCCESS,other,False,False,BIOMETRIC,10.130.201,False,True,LPT-10320,,SID469797,True,None,0.0,ind
IAM00015981,,EMP11232,gaurangi.mistry16,Sales,invalid_credentials,mfa,172.16.177.36,vdr-11232,DEV13019,SID232927,False,,15,PB,,EMP11232,gaurangi.mistry16,Sales,LOGIN_FAILED,login_failed,True,False,MFA,172.16.177.36,True,False,VDR-11232,DEV-13019,SID232927,False,,15.0,PB
IAM00016222,20/08/2026 22:24,EMP12027,BHAVIKA.MALL58,,Successful Login,password,172.16.134.,LPT-12027,DEV90481,SID461004,True,NA,9,Punjab,2026-08-20 22:24:00,EMP12027,bhavika.mall58,Unknown,SUCCESSFUL_LOGIN,other,False,False,PASSWORD,172.16.134.,False,True,LPT-12027,DEV-90481,SID461004,True,NA,9.0,Punjab
IAM00008614,2026/08/12,EMP 11821,caleb.murty72,Mktg,PRIVILEGE_ESCALATION_REQUEST,certificate,10.39.178,VDR-11821,DEV38664,,False,NA,79,PB,2026-08-12 00:00:00,EMP11821,caleb.murty72,Marketing,PRIVILEGE_CHANGE,account_action,False,False,CERTIFICATE,10.39.178,False,True,VDR-11821,DEV-38664,UNKNOWN_SESSION,False,NA,79.0,PB
IAM00019041,,EMP12235,pahal.pingle94,People Team,invalid_credentials,BIOMETRIC,168.224.82.161,VDR-12235,DEV77458,,False,invalid credentials,46,PB,,EMP12235,pahal.pingle94,People Team,LOGIN_FAILED,login_failed,True,False,BIOMETRIC,168.224.82.161,True,False,VDR-12235,DEV-77458,UNKNOWN_SESSION,False,invalid credentials,46.0,PB
IAM00016213,28/08/2026 01:49,EMP 12767,pahal.chokshi86,Finance,Login Success,PASSWORD,197.123.103.243,LPT-12767.corp.local,DEV43629,SID849855,True,NA,92,ind,2026-08-28 01:49:00,EMP12767,pahal.chokshi86,Finance,LOGIN_SUCCESS,login_success,False,False,PASSWORD,197.123.103.243,True,False,LPT-12767,DEV-43629,SID849855,True,NA,92.0,ind
IAM00013290,2026-08-24T03:27:56,EMP11104,JACK.CHACKO10,,ACCOUNT_LOCK,OTP,163.78.28.61,WS-11104.corp.local,DEV83877,SID-473409,False,,63,Maharashtra,2026-08-24 03:27:56,EMP11104,jack.chacko10,Unknown,ACCOUNT_STATUS_CHANGE,account_action,False,False,OTP,163.78.28.61,True,False,WS-11104,DEV-83877,SID-473409,False,None,63.0,Maharashtra
IAM00019419,,11359,gaurika.patla96,,LOGON_FAILURE,otp,10.155.100,LPT-11359,DEV66547,,False,,82/100,PB,,EMP11359,gaurika.patla96,Unknown,LOGIN_FAILED,login_failed,True,False,OTP,10.155.100,False,True,LPT-11359,DEV-66547,UNKNOWN_SESSION,False,,82.0,PB
IAM00005379,05/08/2026 06:46,EMP12418,warda.dua80,,AUTH_FAILED,Certificate,999.999.999.999,WS-12418,,SID843137,yes,bad token,-2,UNKNOWN,2026-08-05 06:46:00,EMP12418,warda.dua80,Unknown,LOGIN_FAILED,login_failed,True,False,CERTIFICATE,999.999.999.999,False,True,WS-12418,,SID843137,True,bad token,0.0,UNKNOWN
IAM00012904,09-07-2026 08:27:22 PM,11321,arin.rattan45,,SSO_SUCCESS,Certificate,182-188.142.34,lpt-11321,DEV12810,SID859629,True,,13,UNKNOWN,2026-07-09 20:27:22,EMP11321,arin.rattan45,Unknown,SSO_SUCCESS,other,False,False,CERTIFICATE,182.188.142.34,True,False,LPT-11321,DEV-12810,SID859629,True,None,13.0,UNKNOWN
