alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality,detected_timestamp_clean,resolved_timestamp_clean,is_temporal_anomaly,resolution_time_hours,user_id_clean,hostname_clean,severity_clean,severity_score,status_clean,is_active_alert,alert_type_clean,is_high_threat_type,file_path_clean,sha256_clean
EPA00006012,2026/09/02,,LPT-11786,emp11786,SentinelOne,Browser hijack attempt,P2,Open,Process attempted to access sensitive directory.,C:\Windows\Temp\update.tmp,powershell.exe,7954dfe8bc90723db112b92886a999583487d5571bb4f40850f94f0827c1085a,admin,HIGH,2026-09-02 00:00:00,,False,,EMP11786,LPT-11786,HIGH,75,OPEN,True,Browser Hijack Attempt,False,C:\Windows\Temp\update.tmp,7954dfe8bc90723db112b92886a999583487d5571bb4f40850f94f0827c1085a
EPA00003096,2026-08-14T19:52:19,,ws-11076,EMP11076,Carbon Black,suspicious_powershell,P3,O,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,unknown,a69822d668776e6808089b2912ffa4eb9e956c1da0bca3a48f53d0e1f40253ba,soc.analyst1,Critical,2026-08-14 19:52:19,,False,,EMP11076,WS-11076,MEDIUM,50,OPEN,True,Suspicious_Powershell,True,C:\ProgramData\svc\agent.dll,a69822d668776e6808089b2912ffa4eb9e956c1da0bca3a48f53d0e1f40253ba
EPA00004626,2026-08-26T18:32:09,1788183129,VDR-11117,emp_11117,Defender,Lateral movement detected,L,RESOLVED,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,explorer.exe,58af04c95b02331e61f4dfc127aa254ad1d7a24813f0656f63212fac7d1d35ec,admin,H,2026-08-26 18:32:09,2026-08-31 13:32:09,False,115.0,EMP11117,VDR-11117,LOW,25,RESOLVED,False,Lateral Movement Detected,True,C:\ProgramData\svc\agent.dll,58af04c95b02331e61f4dfc127aa254ad1d7a24813f0656f63212fac7d1d35ec
EPA00000264,,,LPT-12783,EMP12783,Windows Defender,Unusual admin share access,Critical,WIP,Endpoint protection detected suspicious activity on host.,,,7b78088d4f1a83fb2b31107c0c0af69226924f23ad7def626b355713d2a6f18e,incident.team,M,,,False,,EMP12783,LPT-12783,CRITICAL,100,IN_PROGRESS,True,Unusual Admin Share Access,False,Unknown,7b78088d4f1a83fb2b31107c0c0af69226924f23ad7def626b355713d2a6f18e
EPA00000519,2026-08-26 05:16:07,08-31-2026 12:16:07 AM,LPT-11285,EMP11285,McAfee,Browser hijack attempt,P3,Open,Suspicious script execution observed. Logs attached.,,unknown,a850e8e3b66e04874b15,incident.team,HIGH,2026-08-26 05:16:07,2026-08-31 00:16:07,False,115.0,EMP11285,LPT-11285,MEDIUM,50,OPEN,True,Browser Hijack Attempt,False,Unknown,a850e8e3b66e04874b15
EPA00004343,27/08/2026 12:14,1788261290,VDR_12243,EMP12243,McAfee,Trojan:Win32,Major,Open,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,explorer.exe,363de85262bf2d4e62eec352c476223697560cdd49a5a854db0793c7bece7bc9,incident.team,Medium,2026-08-27 12:14:00,2026-09-01 11:14:50,False,119.01,EMP12243,VDR-12243,MEDIUM,50,OPEN,True,Trojan:Win32,True,C:\Windows\System32\drivers\etc\hosts,363de85262bf2d4e62eec352c476223697560cdd49a5a854db0793c7bece7bc9
EPA00005322,29/08/2026 08:30,29/08/2026,LPT-11833,EMP11833,Windows Defender,Keylogger suspected,LOW,Not Malicious,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,powershell.exe,b52b90bef8d819876dc67f32dd5cd24176627cbbb9faef766238655895df5ba6,unassigned,CRITICAL,2026-08-29 08:30:00,2026-08-29 00:00:00,True,,EMP11833,LPT-11833,LOW,25,OPEN,True,Keylogger Suspected,False,C:\Users\user\AppData\Local\Temp\cache.bin,b52b90bef8d819876dc67f32dd5cd24176627cbbb9faef766238655895df5ba6
EPA00000497,2026-08-22 00:59:45,2026/08/24,VDR-11507,EMP11507,Carbon Black,Keylogger suspected,MEDIUM,CLOSED,Multiple failed attempts to disable security agent.,,unknown,0f690cde2db3caf01a8962f146b0034f878cf621d323ef480cf0fa830c46368c,soc.analyst2,Low,2026-08-22 00:59:45,2026-08-24 00:00:00,False,47.0,EMP11507,VDR-11507,MEDIUM,50,RESOLVED,False,Keylogger Suspected,False,Unknown,0f690cde2db3caf01a8962f146b0034f878cf621d323ef480cf0fa830c46368c
EPA00007367,2026-08-28T17:56:03,2026-09-02T16:56:03,LPT-11656.corp.local,emp11656,CrowdStrike,Keylogger suspected,H,Unassigned,Endpoint agent blocked execution. Review required.,C:\Windows\Temp\update.tmp,msedge.exe,,admin,Low,2026-08-28 17:56:03,2026-09-02 16:56:03,False,119.0,EMP11656,LPT-11656,HIGH,75,IN_PROGRESS,True,Keylogger Suspected,False,C:\Windows\Temp\update.tmp,unknown
EPA00002575,27/08/2026 18:21,,VDR-10735,EMP10735,Windows Defender,Credential dumping attempt,L,Active,Threat detected after file download from external website.,E:\Backup\data.rar,python.exe,,incident.team,High,2026-08-27 18:21:00,,False,,EMP10735,VDR-10735,LOW,25,OPEN,True,Credential Dumping Attempt,True,E:\Backup\data.rar,unknown
EPA00005272,08-15-2026 10:14:02 PM,,WS-12511,12511,Windows Defender,Browser hijack attempt,LOW,IN_PROGRESS,Alert generated from heuristic engine. Possible false positive.,D:\Projects\scripts\cleanup.ps1,cmd.exe,1908badb164f8fda5a1a9f0a09428a848c14250c775dc1bacee0285d368528b4,,Critical,2026-08-15 22:14:02,,False,,EMP12511,WS-12511,LOW,25,IN_PROGRESS,True,Browser Hijack Attempt,False,D:\Projects\scripts\cleanup.ps1,1908badb164f8fda5a1a9f0a09428a848c14250c775dc1bacee0285d368528b4
EPA00006436,08-14-2026 03:33:28 AM,,VDR-12693,EMP 12693,Defender,Unusual admin share access,P2,N,Threat detected after file download from external website.,C:\Windows\System32\drivers\etc\hosts,powershell.exe,,,,2026-08-14 03:33:28,,False,,EMP12693,VDR-12693,HIGH,75,OPEN,True,Unusual Admin Share Access,False,C:\Windows\System32\drivers\etc\hosts,unknown
EPA00005488,08-05-2026 10:33:23 PM,2026-08-10T03:33:23,VDR-10295,emp_10295,SentinelOne,Browser hijack attempt,HIGH,FALSE_POSITIVE,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,cmd.exe,a86883cdf773b,unassigned,L,2026-05-08 22:33:23,2026-08-10 03:33:23,False,2237.0,EMP10295,VDR-10295,HIGH,75,DISMISSED,False,Browser Hijack Attempt,False,C:\ProgramData\svc\agent.dll,a86883cdf773b
EPA00005711,2026-09-08T22:26:48,2026-09-13 19:26:48,LPT-10360,EMP10360,Quick Heal,Unauthorized USB,P3,New,Endpoint protection detected suspicious activity on host.,C:\Users\user\AppData\Local\Temp\cache.bin,unknown,2ee36e4cf4ff5b900a423fbb373d96115b48e7a3c08b20e9b4e82e247f90ad4b,soc.analyst1,LOW,2026-09-08 22:26:48,2026-09-13 19:26:48,False,117.0,EMP10360,LPT-10360,MEDIUM,50,OPEN,True,Unauthorized Usb,False,C:\Users\user\AppData\Local\Temp\cache.bin,2ee36e4cf4ff5b900a423fbb373d96115b48e7a3c08b20e9b4e82e247f90ad4b
EPA00006384,2026/08/08,12/08/2026 20:30,WS-11672,emp11672,CrowdStrike,Ransomware Activity,P3,OPEN,Alert generated from heuristic engine. Possible false positive.,,msedge.exe,cb7603812d3a33170d27a046c5e07f5550a39584df20c2fcd5af149abef94c96,admin,M,2026-08-08 00:00:00,2026-08-12 20:30:00,False,116.5,EMP11672,WS-11672,MEDIUM,50,OPEN,True,Ransomware Activity,True,Unknown,cb7603812d3a33170d27a046c5e07f5550a39584df20c2fcd5af149abef94c96
EPA00004344,16-Aug-2026 19:54:15,20/08/2026 00:54,VDR-10740,emp_10740,Kaspersky,Unusual admin share access,LOW,New,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,,ca87586b2d0b9a276eb728e80db6c4186e5de14c1c81dd9364667702d302c368,incident.team,H,2026-08-16 19:54:15,2026-08-20 00:54:00,False,77.0,EMP10740,VDR-10740,LOW,25,OPEN,True,Unusual Admin Share Access,False,C:\Users\user\Desktop\salary.xlsx,ca87586b2d0b9a276eb728e80db6c4186e5de14c1c81dd9364667702d302c368
EPA00000034,2026-08-29 06:02:09,1788318129,LPT_11310,EMP11310,CrowdStrike,USB device blocked,Medium,Resolved,Alert triggered by abnormal network connection.,,msedge.exe,0b3cf034347e885680d4fb990b7be3aa8e8ee381244646024f6ef189e5221049,soc.analyst2,Medium,2026-08-29 06:02:09,2026-09-02 03:02:09,False,93.0,EMP11310,LPT-11310,MEDIUM,50,RESOLVED,False,Usb Device Blocked,False,Unknown,0b3cf034347e885680d4fb990b7be3aa8e8ee381244646024f6ef189e5221049
EPA00000541,12/08/2026 04:24,16/08/2026 14:24,VDR-10796,EMP10796,McAfee,Keylogger suspected,P4,R,Endpoint protection detected suspicious activity on host.,,excel.exe,3f8073b89751fceb20e7060e22e5fab0373296527f9bb64b7a17678ed10b4dc5,incident.team,MEDIUM,2026-08-12 04:24:00,2026-08-16 14:24:00,False,106.0,EMP10796,VDR-10796,LOW,25,OPEN,True,Keylogger Suspected,False,Unknown,3f8073b89751fceb20e7060e22e5fab0373296527f9bb64b7a17678ed10b4dc5
EPA00005712,06-Sep-2026 21:57:24,2026-09-11T01:57:24,WS-10866,emp_10866,Defender,Lateral movement detected,Moderate,WIP,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,msedge.exe,9f47473f0be1935599fd7e3adbda2eb017fafac0dc7af7565027d45ca3a61199,admin,High,2026-09-06 21:57:24,2026-09-11 01:57:24,False,100.0,EMP10866,WS-10866,MEDIUM,50,IN_PROGRESS,True,Lateral Movement Detected,True,C:\Users\user\Desktop\salary.xlsx,9f47473f0be1935599fd7e3adbda2eb017fafac0dc7af7565027d45ca3a61199
EPA00002125,2026-08-30 12:51:12,03/09/2026 12:51,LPT-12300,emp12300,SentinelOne,Unauthorized USB,P3,In Progress,Endpoint agent blocked execution. Review required.,C:\ProgramData\svc\agent.dll,chrome.exe,3f6c3c50a1f72c6f19d339c910d8c5929c41c2dd850c52c4d0cec43de470372a,,,2026-08-30 12:51:12,2026-09-03 12:51:00,False,96.0,EMP12300,LPT-12300,MEDIUM,50,IN_PROGRESS,True,Unauthorized Usb,False,C:\ProgramData\svc\agent.dll,3f6c3c50a1f72c6f19d339c910d8c5929c41c2dd850c52c4d0cec43de470372a
EPA00001406,,14/09/2026 17:38,vdr-11559,EMP 11559,Windows Defender,Trojan:Win32,CRITICAL,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Windows\Temp\update.tmp,winword.exe,,incident.team,Critical,,2026-09-14 17:38:00,False,,EMP11559,VDR-11559,CRITICAL,100,IN_PROGRESS,True,Trojan:Win32,True,C:\Windows\Temp\update.tmp,unknown
EPA00000458,08-29-2026 10:56:29 AM,01/09/2026 16:56,VDR-10917,emp10917,CrowdStrike,Unauthorized USB,P4,New,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,5a1ffbf81b809a7b472f9d53e44523cef210ad4e20e5835e51dba8e56d1bf93b,unassigned,CRITICAL,2026-08-29 10:56:29,2026-09-01 16:56:00,False,77.99,EMP10917,VDR-10917,LOW,25,OPEN,True,Unauthorized Usb,False,C:\Users\user\AppData\Local\Temp\cache.bin,5a1ffbf81b809a7b472f9d53e44523cef210ad4e20e5835e51dba8e56d1bf93b
EPA00006897,2026-08-25T20:56:55,2026-08-30 04:56:55,ws-10770,EMP10770,SYMANTEC,USB device blocked,H,Unassigned,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,cmd.exe,,unassigned,,2026-08-25 20:56:55,2026-08-30 04:56:55,False,104.0,EMP10770,WS-10770,HIGH,75,IN_PROGRESS,True,Usb Device Blocked,False,C:\Windows\System32\drivers\etc\hosts,unknown
EPA00002808,,09-Sep-2026 02:34:38,LPT-10058,EMP10058,SentinelOne,MALWARE_DETECTED,P4,Resolved,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,winword.exe,db1ab817edfa4a0a4290962999f02e8c4419e9dd618e3a29d636a704162b4e40,admin,L,,2026-09-09 02:34:38,False,,EMP10058,LPT-10058,LOW,25,RESOLVED,False,Malware_Detected,True,C:\Users\Public\Downloads\invoice.exe,db1ab817edfa4a0a4290962999f02e8c4419e9dd618e3a29d636a704162b4e40
EPA00005629,2026-08-10T04:27:02,08/08/2026,LPT-10852,EMP10852,SYMANTEC,Lateral movement detected,Major,CLOSED,Threat detected after file download from external website.,,cmd.exe,5c9a04c3b39f5664eaf53c743219449d25de318df77cbbc3111edcf135a4e345,,CRITICAL,2026-08-10 04:27:02,2026-08-08 00:00:00,True,,EMP10852,LPT-10852,MEDIUM,50,RESOLVED,False,Lateral Movement Detected,True,Unknown,5c9a04c3b39f5664eaf53c743219449d25de318df77cbbc3111edcf135a4e345
EPA00005974,1786435581,2026-08-11T09:06:21,VDR-10990,emp10990,Windows Defender,Suspicious PowerShell Execution,P3,O,Malicious file blocked. User notified. Need validation.,C:\Users\user\Desktop\salary.xlsx,python.exe,51de423872495feb0ed3d08a49e0ba60c43035f400bab8d4931f6bd0980ef30d,,High,2026-08-11 08:06:21,2026-08-11 09:06:21,False,1.0,EMP10990,VDR-10990,MEDIUM,50,OPEN,True,Suspicious Powershell Execution,True,C:\Users\user\Desktop\salary.xlsx,51de423872495feb0ed3d08a49e0ba60c43035f400bab8d4931f6bd0980ef30d
EPA00000764,30/08/2026 13:02,09-04-2026 06:02:45 AM,LPT-11554,EMP-11554,Windows Defender,Unauthorized USB,Major,N,Alert triggered by abnormal network connection.,,chrome.exe,fb0adb1be2e3827887a25a39607a7f80,soc.analyst2,Critical,2026-08-30 13:02:00,2026-04-09 06:02:45,True,,EMP11554,LPT-11554,MEDIUM,50,OPEN,True,Unauthorized Usb,False,Unknown,fb0adb1be2e3827887a25a39607a7f80
EPA00003460,1787403725,2026-08-24T15:02:05,VDR-11921,EMP11921,SentinelOne,MALWARE_DETECTED,Low,Resolved,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,msedge.exe,2fb509e4b24f49c54776757ec5ce1994b9a4,,,2026-08-22 13:02:05,2026-08-24 15:02:05,False,50.0,EMP11921,VDR-11921,LOW,25,RESOLVED,False,Malware_Detected,True,C:\Windows\System32\drivers\etc\hosts,2fb509e4b24f49c54776757ec5ce1994b9a4
EPA00001058,22/08/2026 13:02,2026-08-26 05:02:16,WS-12912,12912,Kaspersky,Keylogger suspected,Minor,RESOLVED,Threat detected after file download from external website.,C:\ProgramData\svc\agent.dll,powershell.exe,,,MEDIUM,2026-08-22 13:02:00,2026-08-26 05:02:16,False,88.0,EMP12912,WS-12912,LOW,25,RESOLVED,False,Keylogger Suspected,False,C:\ProgramData\svc\agent.dll,unknown
EPA00000829,2026-08-15 16:09:20,16/08/2026,LPT-11107,11107,Kaspersky,Suspicious PowerShell Execution,P4,Investigating,Alert generated from heuristic engine. Possible false positive.,C:\Windows\System32\drivers\etc\hosts,,b9311893f7fa8aa540cba44b0f56d2974849031a4ab3d0597b4340a7b82390c5,incident.team,CRITICAL,2026-08-15 16:09:20,2026-08-16 00:00:00,False,7.84,EMP11107,LPT-11107,LOW,25,IN_PROGRESS,True,Suspicious Powershell Execution,True,C:\Windows\System32\drivers\etc\hosts,b9311893f7fa8aa540cba44b0f56d2974849031a4ab3d0597b4340a7b82390c5
EPA00004715,,1786376169,,EMP10907,McAfee,Keylogger suspected,Low,O,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,b941aa057fd6d8939414a59e2799a3518b8987e6594ccea984d3d39860e938b2,soc.analyst1,,,2026-08-10 15:36:09,False,,EMP10907,,LOW,25,OPEN,True,Keylogger Suspected,False,C:\Users\user\AppData\Local\Temp\cache.bin,b941aa057fd6d8939414a59e2799a3518b8987e6594ccea984d3d39860e938b2
EPA00000223,01-Aug-2026 07:21:22,04-Aug-2026 10:21:22,WS-11865,emp_11865,CrowdStrike,ransomware_behavior,M,Resolved,Multiple failed attempts to disable security agent.,C:\ProgramData\svc\agent.dll,cmd.exe,BACF5DF0A17A926FC5B1F247156D85BB98966965B0FD581DDF5EEF238B7F0DDD,,,2026-08-01 07:21:22,2026-08-04 10:21:22,False,75.0,EMP11865,WS-11865,MEDIUM,50,RESOLVED,False,Ransomware_Behavior,True,C:\ProgramData\svc\agent.dll,bacf5df0a17a926fc5b1f247156d85bb98966965b0fd581ddf5eef238b7f0ddd
EPA00002692,2026-09-01 07:39:47,04-Sep-2026 01:39:47,WS-11132,EMP 11132,SentinelOne,Phishing URL blocked,P2,Resolved,Threat detected after file download from external website.,D:\Projects\scripts\cleanup.ps1,python.exe,,,HIGH,2026-09-01 07:39:47,2026-09-04 01:39:47,False,66.0,EMP11132,WS-11132,HIGH,75,RESOLVED,False,Phishing Url Blocked,False,D:\Projects\scripts\cleanup.ps1,unknown
EPA00007411,23/08/2026 12:53,08-26-2026 12:53:22 AM,WS-12327,12327,McAfee,Lateral movement detected,M,N,Endpoint agent blocked execution. Review required.,,unknown,B0D0275084283AA4F02B6F5019022BD8131E3A0E751A291BEA17CA8DB091C3EC,admin,Low,2026-08-23 12:53:00,2026-08-26 00:53:22,False,60.01,EMP12327,WS-12327,MEDIUM,50,OPEN,True,Lateral Movement Detected,True,Unknown,b0d0275084283aa4f02b6f5019022bd8131e3a0e751a291bea17ca8db091c3ec
EPA00003847,2026-08-14 00:59:38,2026-08-17 21:59:38,LPT-12662,EMP12662,SYMANTEC,Unauthorized USB,H,NEW,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,winword.exe,7ab3e656390a1830a7678451a91467c9912c9cd000bb2c6c54bc2e5bd527d398,unassigned,L,2026-08-14 00:59:38,2026-08-17 21:59:38,False,93.0,EMP12662,LPT-12662,HIGH,75,OPEN,True,Unauthorized Usb,False,C:\Windows\System32\drivers\etc\hosts,7ab3e656390a1830a7678451a91467c9912c9cd000bb2c6c54bc2e5bd527d398
EPA00002523,1786389635,13/08/2026 19:20,LPT-10094,EMP-10094,Quick Heal,Keylogger suspected,Minor,New,Alert triggered by abnormal network connection.,,winword.exe,345f95cc9101f875c3152f8ef53a088cc34e970db839d71d9d777e45152f78cb,soc.analyst1,Low,2026-08-10 19:20:35,2026-08-13 19:20:00,False,71.99,EMP10094,LPT-10094,LOW,25,OPEN,True,Keylogger Suspected,False,Unknown,345f95cc9101f875c3152f8ef53a088cc34e970db839d71d9d777e45152f78cb
EPA00001747,2026/09/08,12/09/2026 11:11,VDR-11681,EMP11681,SentinelOne,Unauthorized USB,Low,FALSE_POSITIVE,Malicious file blocked. User notified. Need validation.,C:\ProgramData\svc\agent.dll,explorer.exe,30d6770eb6d669694d31df93573384bd5659b3ca1899a65e8a0fcac8a1b043a1,soc.analyst1,H,2026-09-08 00:00:00,2026-09-12 11:11:00,False,107.18,EMP11681,VDR-11681,LOW,25,DISMISSED,False,Unauthorized Usb,False,C:\ProgramData\svc\agent.dll,30d6770eb6d669694d31df93573384bd5659b3ca1899a65e8a0fcac8a1b043a1
EPA00002752,09/09/2026 07:13,2026-09-12 00:13:36,VDR-10940,EMP10940,Carbon Black,ransomware_behavior,Minor,Investigating,Threat detected after file download from external website.,E:\Backup\data.rar,powershell.exe,e447287619f5c6e28cadfa9e8af056b716e174277c50955a59aa2d286614250d,incident.team,M,2026-09-09 07:13:00,2026-09-12 00:13:36,False,65.01,EMP10940,VDR-10940,LOW,25,IN_PROGRESS,True,Ransomware_Behavior,True,E:\Backup\data.rar,e447287619f5c6e28cadfa9e8af056b716e174277c50955a59aa2d286614250d
EPA00000462,1788080935,03/09/2026 03:08,VDR-12844,EMP12844,Kaspersky,Suspicious PowerShell Execution,Moderate,Open,Alert generated from heuristic engine. Possible false positive.,,powershell.exe,4382206f354ca7,,LOW,2026-08-30 09:08:55,2026-09-03 03:08:00,False,89.98,EMP12844,VDR-12844,MEDIUM,50,OPEN,True,Suspicious Powershell Execution,True,Unknown,4382206f354ca7
EPA00000319,30/08/2026,1788372305,VDR-10040,EMP10040,Windows Defender,Trojan:Win32,H,New,Malicious file blocked. User notified. Need validation.,C:\Windows\Temp\update.tmp,python.exe,,admin,M,2026-08-30 00:00:00,2026-09-02 18:05:05,False,90.08,EMP10040,VDR-10040,HIGH,75,OPEN,True,Trojan:Win32,True,C:\Windows\Temp\update.tmp,unknown
EPA00001666,08-28-2026 02:09:19 PM,2026-08-30 12:09:19,LPT-10646,EMP 10646,Defender,Phishing URL blocked,Moderate,R,Process attempted to access sensitive directory.,C:\Users\Public\Downloads\invoice.exe,excel.exe,0b118306952a2e40e5ca7aa285b3544fe8153e246e5609df9b3bf4da82cd210f,incident.team,Critical,2026-08-28 14:09:19,2026-08-30 12:09:19,False,46.0,EMP10646,LPT-10646,MEDIUM,50,OPEN,True,Phishing Url Blocked,False,C:\Users\Public\Downloads\invoice.exe,0b118306952a2e40e5ca7aa285b3544fe8153e246e5609df9b3bf4da82cd210f
EPA00003904,2026/08/25,1788020389,LPT-10897,EMP 10897,Defender,Unusual admin share access,H,Unassigned,Suspicious script execution observed. Logs attached.,E:\Backup\data.rar,chrome.exe,bb2a3f6ff9488a55034b08a47194c76471b0cc4a0737ad919a5deff1fd5a9176,,LOW,2026-08-25 00:00:00,2026-08-29 16:19:49,False,112.33,EMP10897,LPT-10897,HIGH,75,IN_PROGRESS,True,Unusual Admin Share Access,False,E:\Backup\data.rar,bb2a3f6ff9488a55034b08a47194c76471b0cc4a0737ad919a5deff1fd5a9176
