log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000007118,2026-09-03 03:33:10,LPT-11478,999.999.999.999,100.43.85.68,445,22,udp,DENY,"16,968,285",24056436,SID-314044,False,NA,Russia
FW000019700,,WS-12999,192.168.101.233,203.238.166.118.0,25,22,TCP,ALLOW,28370526,,SID850726,0,BLOCK_EXTERNAL_RDP,CN
FW000014620,2026-09-05 22:53:09,LPT-12541,140.175.207.223,50.159.245.89,80,135,TCP,permit,31.13 MB,44.8 MB,SID582115,N,allow_office_apps,Russia
FW000010325,1788486540,,192.168.148.34,,3389,8080,tcp,Allow,42586323,38661404,NA,False,ALLOW_INTERNAL_DNS,ind
FW000007754,16/08/2026 20:41,VDR-10743,172.16.97.250,172.16.57.8,3389,NA,TCP/6,Deny,9705491,"3,140,613",,no,,Russia
FW000006290,2026-08-07T01:21:56,vdr-12732,112.159.19.211,,25,,TCP/6,Deny,20618445,23340422,SID937475,True,allow_office_apps,RU
FW000007970,2026-08-23 19:19:28,LPT-12542.corp.local,10.103.62,172-16.97.36,80,0,17,PASS,3107576,45525887,SID254504,False,block_tor_exit,
FW000019212,07/09/2026 16:33,VDR-10005,192.168.163.43,206.163.113.126.0,22,80,tcp,permit,20524979,17871476,SID335762,N,allow_office_apps,United States
FW000004956,1785960340,VDR-11394,52.159.12.248,192-168.8.54,3389,8443,TCP,Allow,,9.26 MB,SID531143,False,DENY_TELNET,
FW000010100,2026-08-06 12:34:37,WS-12337,10.55.211,172.16.237.206,88594,135,6,drop,44010127,48244791,NA,N,MONITOR_DB_ACCESS,United States
FW000000424,07-Aug-2026 03:35:54,ws-12913,UNKNOWN,170.84.241.160,NA,53,tcp,permit,10245765,32039.97 KB,sid639238,False,ALLOW_INTERNAL_DNS,RU
FW000009792,2026-08-21T09:08:06,LPT-12951,192.168.188.85,192.168.110.6,80,3389,6,Allow,11743248,23239715,sid706195,False,BLOCK_EXTERNAL_RDP,
FW000013186,2026-09-09T06:29:59,VDR-11265,10.141.146,81.211.42.17,96642,25,UDP/17,Deny,22995574,11572573,SID707580,0,ALLOW_WEB,United States
FW000017529,04/09/2026 14:48,LPT-11842,124.5.106.189,192.168.25.125,22,53,UDP,permit,"30,822,159",13547876,,False,UNKNOWN,
FW000011267,,VDR-12095,10.248.80,172.16.132.188,8443,135,TCP/6,PASS,,0.24 MB,sid890237,False,ALLOW_INTERNAL_DNS,United States
FW000013721,,VDR-10698.corp.local,10.19.178,10.27.40,443,1433,TCP,ALLOW,15.4 MB,43448846,SID254382,False,ALLOW_WEB,India
FW000027402,,LPT-10183,172.16.47.248,34.114.133.,135,-1,TCP/6,permit,13289567,49885990,NA,False,UNKNOWN,CN
FW000013210,2026-08-03 20:32:41,VDR-12218,192.168.14.27,10.77.226,NA,135,tcp,permit,39304732,,SID770400,False,UNKNOWN,CN
FW000026987,2026-08-02 04:45:18,WS-12874.corp.local,89.183.221.141,176.192.189.228,443,3306,TCP,deny,46859974,22567252,SID464275,False,NA,unknown
FW000026621,1786563871,LPT-12634.corp.local,10.253.232.,81.205.45.5,445,443,TCP/6,pass,30871570,20831007,SID436969,no,NA,IN
FW000014922,01/08/2026 03:45,WS-11711,172.16.196.39,72.207.246.231,22,,TCP/6,pass,21654775,44251759,SID992364,False,allow_office_apps,IN
FW000006426,15/08/2026 08:13,VDR-10482,192.168.221.141,193.45.150.160,8443,22,tcp,ALLOW,"32,647,570",12818871,SID282487,N,block_tor_exit,
FW000028816,,LPT-11156,172.16.25.,122.69.111.61,80,22,6,PERMIT,"18,660,537",45148377,SID100947,False,block_tor_exit,India
FW000007476,2026-09-03T22:45:39,VDR-12075,10.121.220,127.173.176.,1433,53,tcp,ALLOW,1896224,4611336,,False,UNKNOWN,IN
FW000010884,08-24-2026 03:54:36 AM,VDR-10736,10.42.62,10.84.42.,22,445,tcp,DENY,16505377,27061.62 KB,SID603359,False,ALLOW_INTERNAL_DNS,unknown
FW000010557,09-Aug-2026 23:11:21,WS-10476,190.240.19.92,81.116.7.4,-3,,TCP/6,DENY,49108319,32002037,SID381305,False,NA,IN
FW000007919,06/08/2026 09:05,WS-11936,10.102.202,95.95.44.149,0,NA,tcp,deny,"9,392,855","35,270,562",sid288467,True,ALLOW_INTERNAL_DNS,RU
FW000005115,2026-09-09 17:39:44,lpt-11259,192.168.209.18.0,172-16.99.53,53,443,TCP,block,"41,605,831",26938568,SID720221,N,BLOCK_EXTERNAL_RDP,CN
FW000001617,1788847774,VDR-12893,216.237.162.72,189.28.52.148,88085,3389,TCP/6,pass,36958003,31330.38 KB,SID872670,False,UNKNOWN,CN
FW000028756,,LPT-12250,10.190.205,197.88.174.175,8443,1433,tcp,permit,"38,002,127",44767243,SID736208,no,BLOCK_EXTERNAL_RDP,US
FW000020131,2026-08-19 02:45:11,LPT-11156,999.999.999.999,49.144.107.164,135,1433,ICMP,PASS,29871683,27287529,SID360727,False,ALLOW_INTERNAL_DNS,
FW000000937,2026-08-27 23:26:41,VDR-12706,192.168.229.22.0,192-168.145.206,98972,8443,UDP,block,27859792,28.24 MB,SID710702,False,block_tor_exit,US
FW000005223,2026-09-07T09:42:20,LPT-12135,192.167.240.74,187-127.82.131,445,-2,TCP/6,ALLOW,8886600,4866308,,False,NA,
FW000016554,31-Aug-2026 18:57:45,lpt-11753,UNKNOWN,,3306,8443,ping,ALLOW,"2,875,713",49686498,SID190983,False,NA,US
FW000025692,,LPT_10897,192-168.114.14,999.999.999.999,87600,445,tcp,ALLOW,14802745,-28663378,SID174243,False,,RU
FW000016279,04/09/2026 14:41,VDR-12091,19.9.121.17,172.16.1.46.0,135,135,UDP,permit,17831.12 KB,39429235,SID-642825,False,NA,United States
FW000029742,2026/08/08,WS-10413,,72.79.78.146,53,3306,tcp,PASS,22187817,39533277,,True,ALLOW_WEB,IN
FW000010828,1788409828,ws-10982,192.168.12.83,106.221.97.7,,443,TCP,pass,20702733,39443284,SID174628,False,,
FW000027016,07/09/2026 08:40,vdr-10847,192.168.51.62,UNKNOWN,25,1433,TCP/6,block,-43232577,,SID587955,N,ALLOW_WEB,unknown
FW000019780,08-02-2026 08:16:27 PM,VDR-11455.corp.local,999.999.999.999,161.67.163.,135,-4,TCP,ALLOW,"31,581,284",33014801,SID427888,N,block_tor_exit,RU
FW000021953,15/08/2026 11:48,LPT-10935,135.185.206.228,UNKNOWN,79917,445,6,BLOCK,44754635,"40,765,367",SID-862329,N,NA,
FW000018469,27-Aug-2026 15:55:46,LPT-11631,10.231.82,192.168.123.82,NA,,ping,PASS,37467.09 KB,14094271,sid635039,False,block_tor_exit,
FW000013252,2026-08-27T06:19:13,LPT-12766,10-121.68,81.6.74.51,0,86388,tcp,DROP,6335.7 KB,7880652,,False,MONITOR_DB_ACCESS,India
FW000020518,02/09/2026 21:12,LPT-10055,10.207.144.,32.95.63.179,8080,445,TCP/6,Allow,46056402,31243264,SID117225,False,NA,India
FW000025949,2026-08-07T22:39:49,VDR-11167,50.201.161.120,67.4.49.,3389,135,TCP/6,deny,"12,489,651","23,765,304",SID-263037,False,NA,
FW000016657,08-02-2026 03:56:12 AM,LPT-10041,172.16.183.248,999.999.999.999,69896,3389,6,drop,48891316,20.9 MB,SID810055,Y,allow_office_apps,India
FW000009990,2026-08-01 09:40:46,VDR-11566,999.999.999.999,192.168.87.21,25,443,tcp,pass,NA,32080.51 KB,SID359252,N,UNKNOWN,unknown
FW000019917,2026-08-24 07:26:50,LPT-12597,999.999.999.999,23.122.193.207,8080,8080,UDP/17,PASS,"10,426,919",46813530,SID590281,False,ALLOW_INTERNAL_DNS,
FW000003602,2026-08-29 07:37:27,LPT-11131,192.168.121.114.0,10.168.182,80,8443,tcp,ALLOW,"32,417,960","45,857,679",SID934827,False,BLOCK_EXTERNAL_RDP,Russia
FW000001110,08-29-2026 05:14:57 PM,ws-12756,192.168.12.8,134.84.129.207,-3,0,UDP/17,Allow,14289743,11950559,SID-589556,False,,Russia
FW000025645,09-09-2026 04:54:45 PM,LPT-11539.corp.local,172.16.191.145.0,999.999.999.999,NA,8080,TCP,pass,37245037,"48,508,794",SID485150,False,,
FW000002237,23/08/2026 22:40,ws-10078,99.34.218.231,66.220.93.237,53,,tcp,DENY,42485823,33615978,SID821927,False,UNKNOWN,RU
FW000001805,08-09-2026 08:22:37 AM,WS-12745,192.168.178.173.0,172.16.231.153,8443,8443,udp,pass,16779659,7610736,SID747871,1,UNKNOWN,ind
FW000017143,10/08/2026,WS_12606,172.16.65.19.0,94.91.182.188,443,445,udp,Allow,5157847,31203519,SID324146,False,MONITOR_DB_ACCESS,United States
FW000029553,,LPT-11904,10.20.122,207.250.199.98,,95317,tcp,ALLOW,,"14,428,190",SID187947,no,ALLOW_INTERNAL_DNS,US
FW000020682,1787532213,vdr-12835,192.168.210.95,172.16.159.,1433,96677,UDP/17,PASS,30295352,36339153,SID314706,False,BLOCK_EXTERNAL_RDP,RU
